OTUID,taxon,Genus
44df7636016854dc92a6a3abf4345fb3,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Pleurocapsa
4fa32282f70a6ae9d452e4d9893719dd,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Microcystaceae; g__Microcystis; s__,Pleurocapsa
3005c2fb1e7027eeb86dd46db7703d81,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Microcystaceae; g__Microcystis; s__,Pleurocapsa
59720ca22a8247314facaba9b01af0a6,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Porphyrosiphon
b4f5407bdf986fcd487e6755af2225a7,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Porphyrosiphon
9590c248c08eba8b638f46f286e47b07,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Potamolinea
985963065ea8895394a65d93bd87e006,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae,Potamolinea
c0bbf969ec37eda317b8120420148c3b,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Potamolinea
162dcba8a0446e99835633b655acf85c,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Pycnacronema
a66a3e1d69a5ddef891c14b4da392125,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Pycnacronema
5cc901f23bb90bae42b067e92e88dad7,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Pycnacronema
ab0170944407e4c403f537729de4f7be,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Pycnacronema
9e0c1b64cb24fb2c78417c218e5b2023,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Pycnacronema
00ce2d73c983c5b2ed77f12b4f0c1a54,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Pycnacronema
deb94000b97beb313a367077c6f86801,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Pycnacronema
a2f31e8fa20da418e5793d7263625d1e,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Pycnacronema
f8437a3af494c3467fd77ef998e61c6e,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__; g__; s__,Schizothrix
c18a0ff48de23facbb2af20cb86d76d4,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__; g__; s__,Schizothrix
c94dc65d971af2b97a78d13b71d521ca,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
2d7d3bfaf49de339c9dcf0043a61d105,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__; g__; s__,Schizothrix
fd19638d93ad7ec32e78fed76c9e65be,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
3a2f23bbc4be0f345bab24d9fd515ffc,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Schizothrix
f6ef80eca994d23fd937a98bac0ed5a0,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
9acfb4f2c77bc20a8b77664dfb4c71f3,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Schizothrix
3f3097a87be50827822179e89c0bb38a,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
ff99ea91148eec10af0e1ec76122bd81,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
6c01fe440931d2aeaa63f2418c7a0bbf,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
0ac71117a82a4e548a35b52fb8f288d9,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales,Schizothrix
a60c862676dfa8c80b86cf5e9cf02210,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__; g__; s__,Schizothrix
859bfc80c092cd56df7d9504d1ebbefc,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Schizothrix
